,summer song,summer artist,year summer,winter song,winter artist,year winter
2884,Closer Than Friends, Surface,1989,I Didnt Mean To Stay All Night, Starship,1989
2885,Pop Song 89, R.E.M.,1989,Cover Girl, New Kids On The Block,1989
2886,Dancing In Heaven (Orbital Be-Bop), Q-feel,1989,I Dont Know, Michael Morales,1989
2887,Talk It Over, Grayson Hugh,1989,Roam, The B-52s,1989
2888,Through The Storm, Aretha Franklin & Elton John,1989,Girl I Am Searching For You, Stevie B,1989
2889,Gonna Make It, SaFire,1989,Too Hot, Loverboy,1989
2890,Waiting Game, Swing Out Sister,1989,Foolish Heart, Sharon Bryant,1989
2891,You Are The One, TKA,1989,Heat Of The Moment, After 7,1989
2892,Dont Say You Love Me, Billy Squier,1989,Right And Hype, Abstrac',1989
2893,Little Fighter, White Lion,1989,Talk To Myself, Christopher Williams,1989
2894,Little Jackie Wants To Be A Star, Lisa Lisa And Cult Jam,1989,Girl Im Gonna Miss You, Milli Vanilli,1989
2895,Electric Youth, Debbie Gibson,1989,When I Looked At Him, Expose,1989
2896,My One Temptation, Mica Paris,1989,500 Miles, Hooters,1989
2897,A Shoulder To Cry On, Tommy Page,1989,Touch Me Tonight, Shooting Star,1989
2898,Voices Of Babylon, The Outfield,1989,Sold Me Down The River, The Alarm,1989
2899,Darlin I, Vanessa Williams,1989,I Think I Can Beat Mike Tyson, D.J. Jazzy Jeff & The Fresh Prince,1989
2900,Foolish Beat, Debbie Gibson,1988,Every Rose Has Its Thorn, Poison,1988
2901,Dirty Diana, Michael Jackson,1988,My Prerogative, Bobby Brown,1988
2902,Together Forever, Rick Astley,1988,Look Away, Chicago,1988
2903,Make It Real, The Jets,1988,Giving You The Best That I Got, Anita Baker,1988
2904,The Flame, Cheap Trick,1988,Waiting For A Star To Fall, Boy Meets Girl,1988
2905,The Valley Road, Bruce Hornsby & The Range,1988,Two Hearts, Phil Collins,1988
2906,One More Try, George Michael,1988,Welcome To The Jungle, Guns N' Roses,1988
2907,Alphabet St., Prince,1988,In Your Room, The Bangles,1988
2908,Mercedes Boy, Pebbles,1988,Walk On Water, Eddie Money,1988
2909,Pour Some Sugar On Me, Def Leppard,1988,Dont Rush Me, Taylor Dayne,1988
2910,Nothin But A Good Time, Poison,1988,"Baby, I Love Your Way/Freebird Medley", Will To Power,1988
2911,Kiss Me Deadly, Lita Ford,1988,Armageddon It, Def Leppard,1988
2912,Circle In The Sand, Belinda Carlisle,1988,Smooth Criminal, Michael Jackson,1988
2913,I Still Believe, Brenda K. Starr,1988,I Remember Holding You, Boys Club,1988
2914,Nite And Day, Al B. Sure!,1988,I Dont Want Your Love, Duran Duran,1988
2915,New Sensation, INXS,1988,Silhouette, Kenny G,1988
2916,Everything Your Heart Desires, Daryl Hall John Oates,1988,How Can I Fall?, Breathe,1988
2917,Beds Are Burning, Midnight Oil,1988,The Promise, When In Rome,1988
2918,Hold On To The Nights, Richard Marx,1988,Put A Little Love In Your Heart, Annie Lennox & Al Green,1988
2919,Lost In You, Rod Stewart,1988,Finish What Ya Started, Van Halen,1988
2920,Rush Hour, Jane Wiedlin,1988,Spy In The House Of Love, Was (Not Was),1988
2921,We All Sleep Alone, Cher,1988,The Way You Love Me, Karyn White,1988
2922,Hands To Heaven, Breathe,1988,Early In The Morning, Robert Palmer,1988
2923,Shattered Dreams, Johnny Hates Jazz,1988,All This Time, Tiffany,1988
2924,Naughty Girls (Need Love Too), Samantha Fox,1988,When The Children Cry, White Lion,1988
2925,Under The Milky Way, The Church,1988,Born To Be My Baby, Bon Jovi,1988
2926,Tall Cool One, Robert Plant,1988,When Im With You, Sheriff,1988
2927,Make Me Lose Control, Eric Carmen,1988,Little Liar, Joan Jett & the Blackhearts,1988
2928,Roll With It, Steve Winwood,1988,Holding On, Steve Winwood,1988
2929,Paradise, Sade,1988,Wild World, Maxi Priest,1988
2930,Supersonic, J.J. Fad,1988,I Wanna Have Some Fun, Samantha Fox,1988
2931,Parents Just Dont Understand, D.J. Jazzy Jeff & The Fresh Prince,1988,Thanks For My Child, Cheryl Pepsii Riley,1988
2932,Piano In The Dark, Brenda Russell Featuring Joe Esposito,1988,Ghost Town, Cheap Trick,1988
2933,Sign Your Name, Terence Trent D'Arby,1988,The Lover In Me, Sheena Easton,1988
2934,Heart Of Mine, Boz Scaggs,1988,Straight Up, Paula Abdul,1988
2935,Anything For You, Gloria Estefan & Miami Sound Machine,1988,Desire, U2,1988
2936,Black And Blue, Van Halen,1988,Wild Thing, Tone-Loc,1988
2937,The Colour Of Love, Billy Ocean,1988,"Kokomo (From""Cocktail"" )", The Beach Boys,1988
2938,Just Got Paid, Johnny Kemp,1988,"Wild, Wild West", The Escape Club,1988
2939,1-2-3, Gloria Estefan & Miami Sound Machine,1988,Kiss, The Art Of Noise Featuring Tom Jones,1988
2940,I Dont Wanna Live Without Your Love, Chicago,1988,Walking Away, Information Society,1988
2941,I Should Be So Lucky, Kylie Minogue,1988,Back On Holiday, Robbie Nevil,1988
2942,Trouble, Nia Peeples,1988,Bad Medicine, Bon Jovi,1988
2943,Love Changes (Everything), Climie Fisher,1988,She Wants To Dance With Me, Rick Astley,1988
2944,Do You Love Me, The Contours,1988,What I Am, Edie Brickell & New Bohemians,1988
2945,Should I Say Yes?, Nu Shooz,1988,Dial My Heart, The Boys,1988
2946,I Dont Wanna Go On With You Like That, Elton John,1988,You Got It (The Right Stuff), New Kids On The Block,1988
2947,Tomorrow People, Ziggy Marley And The Melody Makers,1988,Baby Can I Hold You, Tracy Chapman,1988
2948,Forgive Me For Dreaming, Elisa Fiorillo,1988,Not Just Another Girl, Ivan Neville,1988
2949,Rag Doll, Aerosmith,1988,The Loco-Motion, Kylie Minogue,1988
2950,Two Occasions, The Deele,1988,Angel Of Harlem, U2,1988
2951,Wait, White Lion,1988,"Yeah, Yeah, Yeah", Judson Spence,1988
2952,Little Walter, Tony Toni Tone,1988,A Little Respect, Erasure,1988
2953,I Dont Want To Live Without You, Foreigner,1988,Dont Know What You Got (Till Its Gone), Cinderella,1988
2954,The Twist, Fat Boys,1988,Groovy Kind Of Love, Phil Collins,1988
2955,I Know Youre Out There Somewhere, The Moody Blues,1988,As Long As You Follow, Fleetwood Mac,1988
2956,Darlin Danielle Dont, Henry Lee Summer,1988,Shake For The Sheik, The Escape Club,1988
2957,Wishing I Was Lucky, Wet Wet Wet,1988,Kissing A Fool, George Michael,1988
2958,Angel, Aerosmith,1988,Handle With Care, Traveling Wilburys,1988
2959,In Your Soul, Corey Hart,1988,Cross My Heart, Eighth Wonder,1988
2960,Fast Car, Tracy Chapman,1988,My Heart Cant Tell You No, Rod Stewart,1988
2961,Promise Me, The Cover Girls,1988,Its No Secret, Kylie Minogue,1988
2962,Ill Always Love You, Taylor Dayne,1988,Peek-A-Boo, Siouxsie & The Banshees,1988
2963,You Have Placed A Chill In My Heart, Eurythmics,1988,"Hippy Hippy Shake (From ""Cocktail"")", The Georgia Satellites,1988
2964,Electric Blue, Icehouse,1988,Forever Young, Alphaville,1988
2965,Wishing Well, Terence Trent D'Arby,1988,Symptoms Of True Love, Tracie Spencer,1988
2966,Feelings Of Forever, Tiffany,1988,New Day For You, Basia,1988
2967,Sayin Sorry (Dont Make It Right), Denise Lopez,1988,Red Red Wine, UB40,1988
2968,Dreaming, Orchestral Manoeuvres In The Dark,1988,Girls Aint Nothing But Trouble, D.J. Jazzy Jeff & The Fresh Prince,1988
2969,Colors, Ice-T,1988,Domino Dancing, Pet Shop Boys,1988
2970,When We Kiss, Bardeux,1988,Forever Young, Rod Stewart,1988
2971,Route 66/Behind The Wheel, Depeche Mode,1988,Edge Of A Broken Heart, Vixen,1988
2972,Most Of All, Jody Watley,1988,"Dont Worry, Be Happy (From ""Cocktail"")", Bobby McFerrin,1988
2973,Say Its Gonna Rain, Will To Power,1988,Its Money That Matters, Randy Newman,1988
2974,Rhythm Of Love, Scorpions,1988,Another Lover, Giant Steps,1988
2975,Sweet Child O Mine, Guns N' Roses,1988,Anchorage, Michelle Shocked,1988
2976,Always On My Mind, Pet Shop Boys,1988,If We Never Meet Again, Tommy Conwell And The Young Rumblers,1988
2977,"DaButt (From The ""School Daze"" Soundtrack)", E.U.,1988,Nobodys Perfect, Mike + The Mechanics,1988
2978,Wait On Love, Michael Bolton,1988,Till I Loved You, Barbra Streisand & Don Johnson,1988
2979,Here With Me, REO Speedwagon,1988,"Surrender To Me (From ""Tequila Sunrise"")", Ann Wilson & Robin Zander,1988
2980,Strange But True, Times Two,1988,"Wild Again (From ""Cocktail"")", Starship,1988
2981,Boom! There She Was, Scritti Politti Featuring Roger,1988,Killing Me Softly, Al B. Sure!,1988
2982,Pink Cadillac, Natalie Cole,1988,Doctorin The Tardis, The Timelords,1988
2983,Knocked Out, Paula Abdul,1988,Never Tear Us Apart, INXS,1988
2984,"Wild, Wild West", Kool Moe Dee,1988,All She Wants Is, Duran Duran,1988
2985,Rooty Toot Toot, John Mellencamp,1988,Perfect, Fairground Attraction,1988
2986,Take It While Its Hot, Sweet Sensation,1988,I Beg Your Pardon, Kon Kan,1988
2987,Joy, Teddy Pendergrass,1988,Dont Be Cruel, Bobby Brown,1988
2988,Forever Yours, Tony Terry,1988,"Boy, Ive Been Told", SaFire,1988
2989,When You Walk In The Room, Paul Carrack,1988,Love Bites, Def Leppard,1988
2990,I Hate Myself For Loving You, Joan Jett & the Blackhearts,1988,More Than You Know, Martika,1988
2991,Please Dont Go Girl, New Kids On The Block,1988,Is It Love, J.J. Fad,1988
2992,Theme From S-Express, S-Express,1988,Ill Always Love You, Taylor Dayne,1988
2993,Blue Monday 1988, New Order,1988,Please Dont Go Girl, New Kids On The Block,1988
2994,Dreamin Of Love, Stevie B,1988,Posse On Broadway, Sir Mix-A-Lot,1988
2995,When Will I Be Famous?, Bros,1988,Any Love, Luther Vandross,1988
2996,"Get Outta My Dreams, Get Into My Car", Billy Ocean,1988,Cars With The Boom, L'Trimm,1988
2997,Where Do Broken Hearts Go, Whitney Houston,1988,The Great Commandment, Camouflage,1988
2998,Pamela, Toto,1988,Whats On Your Mind (Pure Energy), Information Society,1988
2999,Like The Weather," 10,000 Maniacs",1988,One Moment In Time, Whitney Houston,1988
3000,Head To Toe, Lisa Lisa And Cult Jam,1987,Faith, George Michael,1987
3001,Always, Atlantic Starr,1987,So Emotional, Whitney Houston,1987
3002,I Wanna Dance With Somebody (Who Loves Me), Whitney Houston,1987,Is This Love, Whitesnake,1987
3003,In Too Deep, Genesis,1987,Got My Mind Set On You, George Harrison,1987
3004,Diamonds, Herb Alpert,1987,Shake Your Love, Debbie Gibson,1987
3005,Alone, Heart,1987,Dont You Want Me, Jody Watley,1987
3006,Wanted Dead Or Alive, Bon Jovi,1987,The Way You Make Me Feel, Michael Jackson,1987
3007,You Keep Me Hangin On, Kim Wilde,1987,"Catch Me (Im Falling) (From The Film ""Hiding Out"")", Pretty Poison,1987
3008,Songbird, Kenny G,1987,Cherry Bomb, John Mellencamp,1987
3009,Just To See Her, Smokey Robinson,1987,Need You Tonight, INXS,1987
3010,Meet Me Half Way, Kenny Loggins,1987,Valerie, Steve Winwood,1987
3011,"Shakedown (From ""Beverly Hills Cop II"")", Bob Seger,1987,Tell It To My Heart(Dub), Taylor Dayne,1987
3012,Lessons In Love, Level 42,1987,Candle In The Wind, Elton John,1987
3013,Dont Disturb This Groove, The System,1987,Dude (Looks Like A Lady), Aerosmith,1987
3014,The Lady In Red, Chris de Burgh,1987,Hazy Shade Of Winter, The Bangles,1987
3015,Point Of No Return, Expose,1987,Couldve Been, Tiffany,1987
3016,Something So Strong, Crowded House,1987,Heaven Is A Place On Earth, Belinda Carlisle,1987
3017,Jammin Me, Tom Petty And The Heartbreakers,1987,Theres The Girl, Heart,1987
3018,Funkytown, Pseudo Echo,1987,Animal, Def Leppard,1987
3019,With or Without You, U2,1987,Seasons Change, Expose,1987
3020,Every Little Kiss, Bruce Hornsby & The Range,1987,(Ive Had) The Time Of My Life, Bill Medley & Jennifer Warnes,1987
3021,Fascinated, Company B,1987,Crazy, Icehouse,1987
3022,Sweet Sixteen, Billy Idol,1987,I Could Never Take The Place Of Your Man, Prince,1987
3023,Nothings Gonna Change My Love For You, Glenn Medeiros,1987,Thats What Love Is All About, Michael Bolton,1987
3024,Endless Nights, Eddie Money,1987,"Hungry Eyes (From ""Dirty Dancing"")", Eric Carmen,1987
3025,"Girls, Girls, Girls", Motley Crue,1987,I Want To Be Your Man, Roger,1987
3026,Heart And Soul, T'Pau,1987,Power Of Love, Laura Branigan,1987
3027,Rhythm Is Gonna Get You, Gloria Estefan & Miami Sound Machine,1987,Well Be Together, Sting,1987
3028,Soul City, Partland Brothers,1987,Shouldve Known Better, Richard Marx,1987
3029,Rock The Night, Europe,1987,Tunnel Of Love, Bruce Springsteen,1987
3030,Right On Track, The Breakfast Club,1987,I Live For Your Love, Natalie Cole,1987
3031,Kiss Him Goodbye, The Nylons,1987,True Faith, New Order,1987
3032,Ill Still Be Loving You, Restless Heart,1987,Say You Will, Foreigner,1987
3033,Id Still Say Yes, Klymaxx,1987,Dont Shed A Tear, Paul Carrack,1987
3034,The Pleasure Principle, Janet Jackson,1987,Pop Goes The World, Men Without Hats,1987
3035,"I Want Your Sex (From ""Beverly Hills Cop II"")", George Michael,1987,Honestly, Stryper,1987
3036,Big Love, Fleetwood Mac,1987,Motortown, The Kane Gang,1987
3037,I Still Havent Found What Im Looking For, U2,1987,Everywhere, Fleetwood Mac,1987
3038,Happy, Surface,1987,What Have I Done To Deserve This?, Pet Shop Boys & Dusty Springfield,1987
3039,Looking For A New Love, Jody Watley,1987,Push It, Salt-N-Pepa,1987
3040,If She Would Have Been Faithful. . ., Chicago,1987,Just Like Heaven, The Cure,1987
3041,(I Just) Died In Your Arms, Cutting Crew,1987,The One I Love, R.E.M.,1987
3042,Wots It To Ya, Robbie Nevil,1987,I Think Were Alone Now, Tiffany,1987
3043,Flames Of Paradise, Jennifer Rush (Duet With Elton John),1987,I Found Someone, Cher,1987
3044,"Cross My Broken Heart (From ""Beverly Hills Cop II"")", The Jets,1987,Cant Stay Away From You, Gloria Estefan & Miami Sound Machine,1987
3045,Only In My Dreams, Debbie Gibson,1987,Pump Up The Volume, M/A/R/R/S,1987
3046,I Know What I Like, Huey Lewis & The News,1987,I Dont Mind At All, Bourgeois Tagg,1987
3047,Back In The High Life Again, Steve Winwood,1987,I Cant Help It, Bananarama,1987
3048,Heat Of The Night, Bryan Adams,1987,Skeletons, Stevie Wonder,1987
3049,Moonlighting (Theme), Al Jarreau,1987,I Do You, The Jets,1987
3050,Hearts On Fire, Bryan Adams,1987,Because Of You, The Cover Girls,1987
3051,Seven Wonders, Fleetwood Mac,1987,Mony Mony, Billy Idol,1987
3052,One For The Mockingbird, Cutting Crew,1987,In Gods Country, U2,1987
3053,Ready Or Not, Lou Gramm,1987,You And Me Tonight, Deja,1987
3054,Wild Horses, Gino Vannelli,1987,Shes Like The Wind, Patrick Swayze (Featuring Wendy Fraser),1987
3055,La Isla Bonita, Madonna,1987,853-5937, Squeeze,1987
3056,Rock Steady, The Whispers,1987,Ive Been In Love Before, Cutting Crew,1987
3057,Why You Treat Me So Bad, Club Nouveau,1987,(Baby Tell Me) Can You Dance, Shanice Wilson,1987
3058,Luka, Suzanne Vega,1987,Lovers Lane, Georgio,1987
3059,Dont Mean Nothing, Richard Marx,1987,Hot In The City, Billy Idol,1987
3060,Give Me All Night, Carly Simon,1987,Never Gonna Give You Up, Rick Astley,1987
3061,Why Should I Cry?, Nona Hendryx,1987,Hourglass, Squeeze,1987
3062,"Hypnotize Me (From ""Innerspace"")", Wang Chung,1987,Dear Mr. Jesus, Powersource (Solo...Sharon),1987
3063,You Can Call Me Al, Paul Simon,1987,Rhythm Of Love, Yes,1987
3064,Weapons Of Love, The Truth,1987,Never Thought (That I Could Love), Dan Hill,1987
3065,Since Youve Been Gone, The Outfield,1987,System Of Survival," Earth, Wind & Fire",1987
3066,If I Was Your Girlfriend, Prince,1987,Hot Hot Hot, Buster Poindexter & His Banshees Of Blue,1987
3067,Talk Dirty To Me, Poison,1987,Reason To Live, KISS,1987
3068,Give To Live, Sammy Hagar,1987,I Wont Forget You, Poison,1987
3069,Variety Tonight, REO Speedwagon,1987,I Need A Man, Eurythmics,1987
3070,Boy Blue, Cyndi Lauper,1987,Little Lies, Fleetwood Mac,1987
3071,Cant We Try, Dan Hill (Duet With Vonda Shepard),1987,Breakout, Swing Out Sister,1987
3072,Primitive Love Rites, Mondo Rock,1987,Love Will Find A Way, Yes,1987
3073,Show Me, The Cover Girls,1987,Criticize, Alexander O'Neal,1987
3074,Dont Dream Its Over, Crowded House,1987,U Got The Look, Prince,1987
3075,The Finer Things, Steve Winwood,1987,Twilight World, Swing Out Sister,1987
3076,Under The Boardwalk, Bruce Willis,1987,Throwaway, Mick Jagger,1987
3077,Nothings Gonna Stop Us Now, Starship,1987,Brilliant Disguise, Bruce Springsteen,1987
3078,Why Cant This Night Go On Forever, Journey,1987,In My Dreams, REO Speedwagon,1987
3079,Marys Prayer, Danny Wilson,1987,"Live My Life (From The Film ""Hiding Out"")", Boy George,1987
3080,I Want Action, Poison,1987,Rain In The Summertime, The Alarm,1987
3081,Day-In Day-Out, David Bowie,1987,Burning Like A Flame, Dokken,1987
3082,Thats Freedom, Tom Kimmel,1987,Shes Fly, Tony Terry,1987
3083,Still Of The Night, Whitesnake,1987,Silent Morning, Noel,1987
3084,Living In A Box, Living In A Box,1987,Cherokee, Europe,1987
3085,She Dont Look Back, Dan Fogelberg,1987,Someone To Love Me For Me, Lisa Lisa And Cult Jam Featuring Full Force,1987
3086,Cant Get Started, Peter Wolf,1987,Weve Only Just Begun (The Romance Is Not Over), Glenn Jones,1987
3087,Still A Thrill, Jody Watley,1987,Lonely Wont Leave Me Alone, Glenn Medeiros,1987
3088,Want You For My Girlfriend, 4 By Four,1987,Let Me Be The One, Expose,1987
3089,These Times Are Hard For Lovers, John Waite,1987,Whats Too Much, Smokey Robinson,1987
3090,Dirty Water, Rock And Hyde,1987,Youre All I Need, Motley Crue,1987
3091,Why Cant I Be You?, The Cure,1987,Special Way, Kool & The Gang,1987
3092,Rock-A-Lott, Aretha Franklin,1987,Eagles Fly, Sammy Hagar,1987
3093,Same Ole Love (365 Days A Year), Anita Baker,1987,Its A Sin, Pet Shop Boys,1987
3094,"Good Times (From ""The Lost Boys"")", INXS & Jimmy Barnes,1987,Who Will You Run To, Heart,1987
3095,Se La, Lionel Richie,1987,Never Let Me Down Again, Depeche Mode,1987
3096,Shy Girl, Stacey Q,1987,Causing A Commotion, Madonna,1987
3097,Certain Things Are Likely, K.T.P.,1987,Here I Go Again, Whitesnake,1987
3098,Downtown Train, Patty Smyth,1987,Dont Tell Me The Time, Martha Davis,1987
3099,Right Next Door (Because Of Me), The Robert Cray Band,1987,Dont Make Me Wait For Love, Kenny G. (Vocal By Lenny Williams),1987
3100,On My Own, Patti LaBelle & Michael McDonald,1986,Walk Like An Egyptian, The Bangles,1986
3101,Therell Be Sad Songs (To Make You Cry), Billy Ocean,1986,The Way It Is, Bruce Hornsby & The Range,1986
3102,Crush On You, The Jets,1986,Everybody Have Fun Tonight, Wang Chung,1986
3103,Live To Tell, Madonna,1986,Notorious, Duran Duran,1986
3104,I Cant Wait, Nu Shooz,1986,Shake You Down, Gregory Abbott,1986
3105,No One Is To Blame, Howard Jones,1986,To Be A Lover, Billy Idol,1986
3106,A Different Corner, George Michael,1986,Hip To Be Square, Huey Lewis & The News,1986
3107,Holding Back The Years, Simply Red,1986,Cest La Vie, Robbie Nevil,1986
3108,"Whos Johnny (""Short Circuit"" Theme)", El DeBarge,1986,Stand By Me, Ben E. King,1986
3109,Nothin At All, Heart,1986,The Next Time I Fall, Peter Cetera With Amy Grant,1986
3110,Greatest Love Of All, Whitney Houston,1986,War, Bruce Springsteen,1986
3111,I Wanna Be A Cowboy, Boys Don't Cry,1986,Dont Get Me Wrong, Pretenders,1986
3112,Something About You, Level 42,1986,Control, Janet Jackson,1986
3113,Nasty, Janet Jackson,1986,You Give Love A Bad Name, Bon Jovi,1986
3114,Sledgehammer, Peter Gabriel,1986,Is This Love, Survivor,1986
3115,Tuff Enuff, The Fabulous Thunderbirds,1986,Land Of Confusion, Genesis,1986
3116,Invisible Touch, Genesis,1986,You Know I Love You ... Dont You?, Howard Jones,1986
3117,Vienna Calling, Falco,1986,Victory, Kool & The Gang,1986
3118,All I Need Is A Miracle, Mike + The Mechanics,1986,Love Is Forever, Billy Ocean,1986
3119,Like A Rock, Bob Seger,1986,"The Futures So Bright, I Gotta Wear Shades", Timbuk 3,1986
3120,Your Wildest Dreams, The Moody Blues,1986,Someday, Glass Tiger,1986
3121,Danger Zone, Kenny Loggins,1986,At This Moment, Billy Vera & The Beaters,1986
3122,Like No Other Night, Thirty Eight Special,1986,Word Up, Cameo,1986
3123,If You Leave, Orchestral Manoeuvres In The Dark,1986,Love Will Conquer All, Lionel Richie,1986
3124,When The Heart Rules The Mind, GTR,1986,All I Wanted, Kansas,1986
3125,Rain On The Scarecrow, John Mellencamp,1986,Human, The Human League,1986
3126,Mountains, Prince And The Revolution,1986,Open Your Heart, Madonna,1986
3127,Is It Love, Mr. Mister,1986,Coming Around Again, Carly Simon,1986
3128,One Hit (To The Body), The Rolling Stones,1986,You Be Illin, Run-D.M.C.,1986
3129,Dreams, Van Halen,1986,Falling In Love (Uh-Oh), Miami Sound Machine,1986
3130,Mad About You, Belinda Carlisle,1986,Touch Me (I Want Your Body), Samantha Fox,1986
3131,"Love Touch (Theme From ""Legal Eagles"")", Rod Stewart,1986,Change Of Heart, Cyndi Lauper,1986
3132,Opportunities (Lets Make Lots Of Money), Pet Shop Boys,1986,Goldmine, The Pointer Sisters,1986
3133,If She Knew What She Wants, The Bangles,1986,For Tonight, Nancy Martinez,1986
3134,Digging Your Scene, The Blow Monkeys,1986,Amanda, Boston,1986
3135,Be Good To Yourself, Journey,1986,Wild Wild Life, Talking Heads,1986
3136,Out Of Mind Out Of Sight, Models,1986,This Is The Time, Billy Joel,1986
3137,"Modern Woman (From ""Ruthless People"")", Billy Joel,1986,Two People, Tina Turner,1986
3138,Move Away, Culture Club,1986,True Blue, Madonna,1986
3139,"Glory Of Love (Theme From ""The Karate Kid Part II"")", Peter Cetera,1986,Keep Your Hands To Yourself, The Georgia Satellites,1986
3140,Secret Separation, The Fixx,1986,Tasty Love, Freddie Jackson,1986
3141,We Dont Have To Take Our Clothes Off, Jermaine Stewart,1986,Talk To Me, Chico DeBarge,1986
3142,West End Girls, Pet Shop Boys,1986,Take Me Home Tonight, Eddie Money,1986
3143,What Have You Done For Me Lately, Janet Jackson,1986,Will You Still Love Me?, Chicago,1986
3144,The Finest, The S.O.S. Band,1986,Were Ready, Boston,1986
3145,The Love Parade, The Dream Academy,1986,Stop To Love, Luther Vandross,1986
3146,Bad Boy, Miami Sound Machine,1986,You Got It All, The Jets,1986
3147,Your Love, The Outfield,1986,Stay The Night, Benjamin Orr,1986
3148,Addicted To Love, Robert Palmer,1986,Love You Down, Ready For The World,1986
3149,You Should Be Mine (The Woo Woo Song), Jeffrey Osborne,1986,(Forever) Live And Die, Orchestral Manoeuvres In The Dark,1986
3150,Hyperactive, Robert Palmer,1986,Ill Be Over You, Toto,1986
3151,Take It Easy, Andy Taylor,1986,Ballerina Girl, Lionel Richie,1986
3152,Peter Gunn, The Art Of Noise Featuring Duane Eddy,1986,Nobodys Fool, Cinderella,1986
3153,Listen Like Thieves, INXS,1986,Ill Be Alright Without You, Journey,1986
3154,Take Me Home, Phil Collins,1986,Big Time, Peter Gabriel,1986
3155,Headed For The Future, Neil Diamond,1986,Livin On A Prayer, Bon Jovi,1986
3156,All The Love In The World, The Outfield,1986,Crazay, Jesse Johnson (Featuring Sly Stone),1986
3157,One Step Closer To You, Gavin Christopher,1986,Heartache Away, Don Johnson,1986
3158,Why Cant This Be Love, Van Halen,1986,The Rain, Oran 'Juice' Jones,1986
3159,Don Quichotte, Magazine 60,1986,Foolish Pride, Daryl Hall,1986
3160,Living On Video, Trans-X,1986,I Need Your Loving, The Human League,1986
3161,Higher Love, Steve Winwood,1986,Jimmy Lee, Aretha Franklin,1986
3162,Suzanne, Journey,1986,Caught Up In The Rapture, Anita Baker,1986
3163,I Must Be Dreaming, Giuffria,1986,French Kissin, Debbie Harry,1986
3164,"Sweet Freedom (Theme From ""Running Scared"")", Michael McDonald,1986,Some People, Paul Young,1986
3165,Rumors, Timex Social Club,1986,Cant Help Falling In Love, Corey Hart,1986
3166,Mothers Talk, Tears For Fears,1986,Welcome To The Boomtown, David & David,1986
3167,Schools Out, Krokus,1986,Brand New Lover, Dead Or Alive,1986
3168,All The Things She Said, Simple Minds,1986,Facts Of Love, Jeff Lorber & Karyn White,1986
3169,Voice Of Americas Sons, John Cafferty & The Beaver Brown Band,1986,I Didnt Mean To Turn You On, Robert Palmer,1986
3170,Female Intuition, Mai Tai,1986,The Best Man In The World, Ann Wilson,1986
3171,In The Shape Of A Heart, Jackson Browne,1986,Im Not Perfect (But Im Perfect For You), Grace Jones,1986
3172,"Say It, Say It", E.G. Daily,1986,I Wanna Go Back, Eddie Money,1986
3173,The Heat Of Heat, Patti Austin,1986,Goin To The Bank, Commodores,1986
3174,If Your Heart Isnt In It, Atlantic Starr,1986,Nail It To The Wall, Stacy Lattisaw,1986
3175,Hanging On A Heart Attack, Device,1986,Girlfriend, Bobby Brown,1986
3176,Jungle Boy, John Eddie,1986,True Colors, Cyndi Lauper,1986
3177,With You All The Way, New Edition,1986,Thorn In My Side, Eurythmics,1986
3178,Words Get In The Way, Miami Sound Machine,1986,We Connect, Stacey Q,1986
3179,Tomorrow Doesnt Matter Tonight, Starship,1986,Miami, Bob Seger,1986
3180,Has Anyone Ever Written Anything For You, Stevie Nicks,1986,Emotion In Motion, Ric Ocasek,1986
3181,One Way Love, TKA,1986,All Cried Out, Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,1986
3182,Rough Boy, ZZ Top,1986,"Somewhere Out There (From ""An American Tail"")", Linda Ronstadt & James Ingram,1986
3183,Feel The Heat, Jean Beauvoir,1986,Suburbia, Pet Shop Boys,1986
3184,A Kind Of Magic, Queen,1986,Graceland, Paul Simon,1986
3185,Land Of La La, Stevie Wonder,1986,(You Gotta) Fight For Your Right (To Party!), Beastie Boys,1986
3186,The Best Of Me, David Foster And Olivia Newton-John,1986,This Is The World Calling, Bob Geldof,1986
3187,Baby Love, Regina,1986,Blame It On The Radio, John Parr,1986
3188,Headlines, Midnight Star,1986,Every Beat Of My Heart, Rod Stewart,1986
3189,Kiss, Prince And The Revolution,1986,Sweet Love, Anita Baker,1986
3190,Fire With Fire, Wild Blue,1986,Freedom Overspill, Steve Winwood,1986
3191,Chain Reaction, Diana Ross,1986,Dancin In My Sleep, Secret Ties,1986
3192,Touch And Go," Emerson, Lake & Powell",1986,What About Love, 'Til Tuesday,1986
3193,Feel It Again, Honeymoon Suite,1986,Dont Stand So Close To Me 86, The Police,1986
3194,You Dont Have To Cry, Rene & Angela,1986,True To You, Ric Ocasek,1986
3195,"Take My Breath Away (Love Theme From ""Top Gun"")", Berlin,1986,Lady Soul, The Temptations,1986
3196,Where Do The Children Go, Hooters,1986,Dont Forget Me (When Im Gone), Glass Tiger,1986
3197,I Still Want You, The Del Fuegos,1986,"Its Not You, Its Not Me", KBC Band,1986
3198,Pretty In Pink, Psychedelic Furs,1986,Midas Touch, Midnight Star,1986
3199,Divided Hearts, Kim Carnes,1986,Stranglehold, Paul McCartney,1986
3200,Heaven, Bryan Adams,1985,"Say You, Say Me", Lionel Richie,1985
3201,Sussudio, Phil Collins,1985,Broken Wings, Mr. Mister,1985
